year,hours,invalid_gas_hours,invalid_gas_fraction,gas_mean_sm3_h,pv_yield_kwh_kwp,eligible,joint_distance,selected
2013,8760,70,0.007990867579908675,113962.91826484018,1055.320967864554,True,1.3841023718243741,False
2014,8760,181,0.020662100456621004,93530.54851598173,1124.453313074175,False,,False
2015,8760,30,0.003424657534246575,96859.23493150684,1161.171282284513,True,0.6990145271303094,True
2016,8784,674,0.0767304189435337,103625.28827982696,1123.715061234969,False,,False
2017,8760,130,0.014840182648401826,106631.41506849315,1143.7770429467,False,,False
2018,8760,30,0.003424657534246575,99951.0136415525,1195.618265574117,True,0.771776726243369,False
